model_name,domain,trial,temperature,optimizer,seed,runtime_seconds,final_throughput,success,initial_feasible,feasible,total_partitions,avg_partition_size,max_partition_resource_util,total_folding_moves,total_partition_moves,partition_moves_accepted,folding_moves_accepted,best_iteration_index,final_DSP,final_BRAM,final_LUT,final_FF,error
mobile_style,object_detection,3,20.0,Simulated Annealing,2227327372,0.26003313064575195,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
mobile_style,object_detection,1,50.0,Simulated Annealing,2227327460,4.832122564315796,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
mobile_style,object_detection,2,50.0,Simulated Annealing,2227327461,1.6698968410491943,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
mobile_style,object_detection,3,50.0,Simulated Annealing,2227327462,1.9437987804412842,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
segmentation_encoder,semantic_segmentation,1,NA,Rule-Based,1899723298,26.78784465789795,6.398496016783026e-10,True,False,False,29,1.0,0.0,NA,NA,NA,NA,NA,13,10828,87315,113592,
segmentation_encoder,semantic_segmentation,2,NA,Rule-Based,1899723299,26.87128734588623,6.398496016783026e-10,True,False,False,29,1.0,0.0,NA,NA,NA,NA,NA,13,10828,87315,113592,
segmentation_encoder,semantic_segmentation,3,NA,Rule-Based,1899723300,27.786590814590454,6.398496016783026e-10,True,False,False,29,1.0,0.0,NA,NA,NA,NA,NA,13,10828,87315,113592,
segmentation_encoder,semantic_segmentation,1,10.0,Simulated Annealing,1899723358,0.5408289432525635,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
segmentation_encoder,semantic_segmentation,2,10.0,Simulated Annealing,1899723359,0.02160930633544922,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
segmentation_encoder,semantic_segmentation,3,10.0,Simulated Annealing,1899723360,0.25322484970092773,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
segmentation_encoder,semantic_segmentation,1,20.0,Simulated Annealing,1899723388,2.6791436672210693,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
segmentation_encoder,semantic_segmentation,2,20.0,Simulated Annealing,1899723389,6.040815353393555,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
segmentation_encoder,semantic_segmentation,3,20.0,Simulated Annealing,1899723390,0.6204409599304199,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
segmentation_encoder,semantic_segmentation,1,50.0,Simulated Annealing,1899723478,0.3422276973724365,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
segmentation_encoder,semantic_segmentation,2,50.0,Simulated Annealing,1899723479,2.317699909210205,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
segmentation_encoder,semantic_segmentation,3,50.0,Simulated Annealing,1899723480,1.10280442237854,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,
dense_seg,semantic_segmentation,1,NA,Rule-Based,3909781088,209.51865243911743,3.6378484407403992e-06,True,True,True,12,1.9166666666666667,0.0,NA,NA,NA,NA,NA,4383,5489,1658356,2022246,
dense_seg,semantic_segmentation,2,NA,Rule-Based,3909781089,216.37362122535706,3.6378484407403992e-06,True,True,True,12,1.9166666666666667,0.0,NA,NA,NA,NA,NA,4383,5489,1658356,2022246,
dense_seg,semantic_segmentation,3,NA,Rule-Based,3909781090,211.77621006965637,3.6378484407403992e-06,True,True,True,12,1.9166666666666667,0.0,NA,NA,NA,NA,NA,4383,5489,1658356,2022246,
dense_seg,semantic_segmentation,1,10.0,Simulated Annealing,3909781148,0.6230332851409912,0,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,
dense_seg,semantic_segmentation,2,10.0,Simulated Annealing,3909781149,0.47902488708496094,0,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,
dense_seg,semantic_segmentation,3,10.0,Simulated Annealing,3909781150,2.7022438049316406,0,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,
